ID2	ID1	fract_sites_IBD
J0020302_1506	J0010103_1412	0
J0030406_1701	J0020302_1506	0.03253
J0030406_1701	J0010103_1412	0.04048
J0030406_1702	J0010103_1412	0.03343
J0030406_1702	J0030406_1701	0.99707
J0030406_1702	J0020302_1506	0.03213
J0030406_1705	J0010103_1412	0.0374
J0030406_1705	J0030406_1701	0.99806
J0030406_1705	J0030406_1702	1
J0030406_1705	J0020302_1506	0.035
J0030409_1610	J0030406_1701	0.00803
J0030409_1610	J0030406_1705	0.00959
J0030409_1610	J0020302_1506	0.01849
J0030409_1610	J0030406_1702	0.00793
J0030409_1610	J0010103_1412	0
J0050607_1412	J0010103_1412	0.0207
J0050607_1412	J0030406_1705	0.02501
J0050607_1412	J0030409_1610	0.04371
J0050607_1412	J0020302_1506	0.0273
J0050607_1412	J0030406_1702	0
J0050607_1412	J0030406_1701	0.02949
J0050611_1611	J0030406_1701	0.02122
J0050611_1611	J0020302_1506	0.02779
J0050611_1611	J0030409_1610	0.00913
J0050611_1611	J0030406_1702	0.02319
J0050611_1611	J0030406_1705	0.02182
J0050611_1611	J0010103_1412	0.01229
J0050611_1611	J0050607_1412	0.02349
J0050617_1611	J0010103_1412	0.0367
J0050617_1611	J0050611_1611	0.026
J0050617_1611	J0030409_1610	0
J0050617_1611	J0030406_1702	0.00983
J0050617_1611	J0020302_1506	0.00604
J0050617_1611	J0050607_1412	0.02337
J0050617_1611	J0030406_1705	0.01091
J0050617_1611	J0030406_1701	0.01024
J0060701_1511	J0030406_1702	0.01934
J0060701_1511	J0030406_1705	0.02331
J0060701_1511	J0030406_1701	0.01853
J0060701_1511	J0030409_1610	0
J0060701_1511	J0050611_1611	0.02932
J0060701_1511	J0020302_1506	0.03558
J0060701_1511	J0010103_1412	0.15939
J0060701_1511	J0050607_1412	0.02222
J0060701_1511	J0050617_1611	0
J0070804_1610	J0030406_1701	0.02571
J0070804_1610	J0050607_1412	0.04068
J0070804_1610	J0030406_1702	0.02541
J0070804_1610	J0030409_1610	0.02638
J0070804_1610	J0060701_1511	0
J0070804_1610	J0010103_1412	0.03495
J0070804_1610	J0050617_1611	0
